,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
74,Minecraft,X360,2017.0,Misc,Microsoft Game Studios,5.76,2.7,0.02,0.82,9.3,,,,,
75,FIFA 17,PS4,2020.0,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85.0,41.0,4.9,442.0,E
76,Mario Party DS,DS,2011.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E
77,The Elder Scrolls V: Skyrim,X360,2015.0,Role-Playing,Bethesda Softworks,5.08,2.8,0.1,0.86,8.84,96.0,89.0,8.4,3602.0,M
78,Super Mario Kart,SNES,1996.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,
79,FIFA 16,PS4,2019.0,Sports,Electronic Arts,1.13,6.13,0.06,1.28,8.6,82.0,42.0,4.3,902.0,E
80,Halo 2,X,2008.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1224.0,M
81,Wii Party,Wii,2014.0,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39,68.0,42.0,7.5,55.0,E
82,Mario Party 8,Wii,2011.0,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28,62.0,41.0,6.3,191.0,E
83,Star Wars Battlefront (2015),PS4,2019.0,Shooter,Electronic Arts,3.11,3.56,0.22,1.32,8.21,,,,,
84,FIFA Soccer 13,PS3,2016.0,Action,Electronic Arts,1.07,5.01,0.13,1.97,8.17,88.0,37.0,6.5,350.0,E
85,GoldenEye 007,N64,2001.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,
86,Pokemon Black 2/Pokemon White 2,DS,2016.0,Role-Playing,Nintendo,2.79,1.72,3.15,0.41,8.08,,,,,
87,Final Fantasy X,PS2,2005.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1077.0,T
88,The Sims 3,PC,2013.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,894.0,T
89,Mario & Sonic at the Olympic Games,Wii,2011.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,
90,Final Fantasy VIII,PS,2003.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,658.0,T
91,Pac-Man,2600,1986.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,
92,Pok\xc3\xa9mon Platinum Version,DS,2012.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,204.0,E
93,Grand Theft Auto: Liberty City Stories,PSP,2009.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,453.0,M
94,Call of Duty: Advanced Warfare,PS4,2018.0,Shooter,Activision,2.83,3.48,0.14,1.24,7.68,83.0,39.0,5.7,1446.0,M
95,Super Smash Bros. for Wii U and 3DS,3DS,2018.0,Fighting,Nintendo,3.3,1.4,2.44,0.48,7.62,,,,,
96,The Legend of Zelda: Ocarina of Time,N64,2002.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,
97,Crash Bandicoot 2: Cortex Strikes Back,PS,2001.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,
98,Super Mario Galaxy 2,Wii,2014.0,Platform,Nintendo,3.58,2.36,0.98,0.62,7.54,97.0,87.0,9.1,1859.0,E
99,Super Mario Bros. 2,NES,1992.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,
100,Call of Duty: Black Ops 3,XOne,2019.0,Shooter,Activision,4.62,2.12,0.02,0.69,7.44,,,,,
101,Call of Duty: World at War,X360,2012.0,Shooter,Activision,4.83,1.9,0.0,0.7,7.42,84.0,84.0,7.6,583.0,M
102,Fallout 4,PS4,2019.0,Role-Playing,Bethesda Softworks,2.58,3.42,0.24,1.17,7.41,87.0,58.0,6.5,4258.0,M
103,Battlefield 3,X360,2015.0,Shooter,Electronic Arts,4.47,2.11,0.06,0.69,7.33,84.0,57.0,7.4,2144.0,M
104,Uncharted 4: A Thiefs End,PS4,2020.0,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93.0,113.0,7.9,7238.0,T
105,Mario Kart 8,WiiU,2018.0,Racing,Nintendo,3.17,2.25,1.29,0.52,7.23,88.0,82.0,9.1,1607.0,E
106,Need for Speed Underground,PS2,2007.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,172.0,E
107,Just Dance,Wii,2013.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+
108,Battlefield 3,PS3,2015.0,Shooter,Electronic Arts,2.86,2.89,0.35,1.08,7.18,85.0,38.0,7.5,1762.0,M
109,Tekken 3,PS,2002.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,371.0,T
110,The Legend of Zelda: Twilight Princess,Wii,2010.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.16,95.0,73.0,9.0,1664.0,T
111,Crash Bandicoot 3: Warped,PS,2002.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,439.0,E
112,Super Smash Bros. Melee,GC,2005.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,573.0,T
113,Mario Kart: Double Dash!!,GC,2007.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,
114,Need for Speed Underground 2,PS2,2008.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E
115,Medal of Honor: Frontline,PS2,2006.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,137.0,T
116,Crash Bandicoot,PS,2000.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,
117,Just Dance 4,Wii,2016.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.2,29.0,E10+
118,Gears of War 2,X360,2012.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2746.0,M
119,Uncharted 3: Drakes Deception,PS3,2015.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3732.0,T
120,Zumba Fitness,Wii,2014.0,Sports,505 Games,3.46,2.6,0.0,0.66,6.72,,,,,E
121,Call of Duty 4: Modern Warfare,PS3,2011.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.69,94.0,44.0,8.4,994.0,M
122,Uncharted 2: Among Thieves,PS3,2013.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.67,96.0,105.0,8.8,5226.0,T
123,FIFA 12,PS3,2015.0,Sports,Electronic Arts,0.84,4.3,0.11,1.4,6.65,,,,,
124,Big Brain Academy,DS,2009.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,74.0,45.0,7.4,27.0,E
125,The Legend of Zelda,NES,1990.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,
126,Red Dead Redemption,PS3,2014.0,Action,Take-Two Interactive,2.8,2.53,0.17,1.0,6.51,95.0,73.0,8.9,2475.0,M
127,FIFA 14,PS3,2017.0,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86.0,37.0,4.3,576.0,E
128,Donkey Kong Country Returns,Wii,2014.0,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87.0,77.0,8.6,368.0,E
129,Assassins Creed III,PS3,2016.0,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85.0,41.0,6.9,1314.0,M
130,Halo: Combat Evolved,X,2005.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1292.0,M
131,The Elder Scrolls V: Skyrim,PS3,2015.0,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1.0,6.42,92.0,16.0,6.4,2530.0,M
132,Pok\xc3\xa9mon Emerald Version,GBA,2008.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,223.0,E
133,Kingdom Hearts,PS2,2006.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,610.0,E
134,Pok\xc3\xa9mon Crystal Version,G,2004.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,
135,Red Dead Redemption,X360,2014.0,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95.0,96.0,9.0,2327.0,M
136,Halo 3: ODST,X360,2013.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1166.0,M
137,Super Mario Sunshine,GC,2006.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,444.0,E
138,World of Warcraft,PC,2008.0,Role-Playing,Activision,0.09,6.22,0.0,0.0,6.31,93.0,57.0,7.3,2199.0,T
139,Street Fighter II: The World Warrior,SNES,1996.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,
140,Driver,PS,2003.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.0,81.0,T
141,Gears of War 3,X360,2015.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1510.0,M
142,Kinect Sports,X360,2014.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+
143,Gears of War,X360,2010.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2301.0,M
144,FIFA 15,PS4,2018.0,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82.0,47.0,5.7,993.0,E
145,Metal Gear Solid 2: Sons of Liberty,PS2,2005.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1035.0,M
146,Sonic the Hedgehog 2,GEN,1996.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,
147,Metal Gear Solid,PS,2002.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,934.0,M
148,Metal Gear Solid 4: Guns of the Patriots,PS3,2012.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3575.0,M
149,Final Fantasy XII,PS2,2010.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.7,982.0,T
150,The Last of Us,PS3,2017.0,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,5.89,95.0,98.0,9.1,8039.0,M
151,LittleBigPlanet,PS3,2012.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5319.0,E
152,Resident Evil 2,PS,2002.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,369.0,M
153,Call of Duty: Infinite Warfare,PS4,2020.0,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77.0,86.0,3.5,1208.0,M
154,Dragon Quest IX: Sentinels of the Starry Skies,DS,2013.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,202.0,E10+
155,Tekken 2,PS,2000.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T
156,Grand Theft Auto V,XOne,2018.0,Action,Take-Two Interactive,2.93,2.32,0.0,0.49,5.74,97.0,14.0,7.9,774.0,M
157,Destiny,PS4,2018.0,Shooter,Activision,2.5,2.07,0.16,0.93,5.66,76.0,95.0,6.1,5389.0,T
158,LEGO Star Wars: The Complete Saga,Wii,2011.0,Action,LucasArts,3.57,1.56,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+
159,Cooking Mama,DS,2010.0,Simulation,505 Games,3.08,1.91,0.07,0.57,5.64,67.0,35.0,7.2,21.0,E
160,Tetris,NES,1992.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,
161,Super Smash Bros.,N64,2003.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,
162,Assassins Creed II,PS3,2013.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1212.0,M
163,Assassins Creed,X360,2011.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1084.0,M
164,Forza Motorsport 3,X360,2013.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,E
165,Super Mario Advance,GBA,2005.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,42.0,E
166,Batman: Arkham City,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2174.0,T
167,Monster Hunter Freedom Unite,PSP,2012.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,T
168,Mario Kart: Super Circuit,GBA,2005.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,E
169,Super Mario World,GBA,2005.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,
170,Pokemon Stadium,N64,2003.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,
171,Crash Bandicoot: The Wrath of Cortex,PS2,2005.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,161.0,E
172,Minecraft,PS3,2018.0,Misc,Sony Computer Entertainment,2.1,2.42,0.0,0.89,5.41,,,,,
173,Call of Duty: World at War,PS3,2012.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.4,85.0,45.0,7.6,410.0,M
174,Tomodachi Life,3DS,2017.0,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,71.0,52.0,7.6,156.0,E
175,Dr. Mario,G,1993.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,,,,,
176,Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,5.34,83.0,83.0,7.2,2506.0,T
177,Pokemon Pinball,G,2003.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,
178,Final Fantasy IX,PS,2004.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,792.0,T
179,Battlefield 1,PS4,2020.0,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89.0,33.0,8.4,896.0,M
180,New Super Mario Bros. U,WiiU,2016.0,Platform,Nintendo,2.3,1.4,1.28,0.32,5.29,84.0,70.0,8.1,734.0,E
181,Assassins Creed III,X360,2016.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.8,1204.0,M
182,Final Fantasy X-2,PS2,2007.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,404.0,T
183,Call of Duty: Advanced Warfare,XOne,2018.0,Shooter,Activision,3.24,1.55,0.01,0.48,5.28,81.0,53.0,5.4,900.0,M
184,Donkey Kong 64,N64,2003.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,
185,Assassins Creed II,X360,2013.0,Action,Ubisoft,3.12,1.55,0.08,0.52,5.27,90.0,82.0,8.8,1320.0,M
186,Tomb Raider II,PS,2001.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,T
187,Madden NFL 2004,PS2,2007.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,E
188,Dragon Quest VIII: Journey of the Cursed King,PS2,2008.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,249.0,T
189,Super Mario Bros. 3,GBA,2007.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,
190,Professor Layton and the Curious Village,DS,2011.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,149.0,E
191,Super Mario Land 3: Wario Land,G,1998.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,
192,FIFA Soccer 13,X360,2016.0,Action,Electronic Arts,1.09,3.47,0.03,0.58,5.17,90.0,48.0,6.1,404.0,E
193,Diablo III,PC,2016.0,Role-Playing,Activision,2.45,2.17,0.0,0.54,5.17,88.0,86.0,4.0,9643.0,M
194,Donkey Kong Country 2: Diddys Kong Quest,SNES,1999.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,
195,Medal of Honor: Rising Sun,PS2,2007.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,T
196,Kirbys Dream Land,G,1996.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,
197,Microsoft Flight Simulator,PC,2000.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,,,,,
198,Guitar Hero II,PS2,2010.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,113.0,T
199,Fable III,X360,2014.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,608.0,M
